2021-01-30 16:35:05,351 - model.gcnn_supervisor - INFO - Log directory: results\GCNN_DDGF_h_1_60_lr_0.01_bs_100_0130163505/
2021-01-30 16:35:05,363 - model.gcnn_supervisor - INFO - {'base_dir': 'results', 'log_level': 'INFO', 'data': {'batch_size': 100, 'pattern': 'CM0.4', 'dataset_dir': '../data/Metr_data', 'test_batch_size': 100, 'val_batch_size': 100}, 'model': {'cl_decay_steps': 2000, 'horizon': 1, 'input_dim': 1, 'l1_decay': 0, 'num_nodes': 207, 'num_rnn_layers': 1, 'output_dim': 1, 'rnn_units': 60, 'seq_len': 3, 'use_curriculum_learning': True}, 'train': {'base_lr': 0.01, 'dropout': 0, 'epoch': 0, 'epochs': 200, 'epsilon': 0.001, 'global_step': 0, 'lr_decay_ratio': 0.1, 'max_grad_norm': 5, 'max_to_keep': 100, 'min_learning_rate': 2e-06, 'optimizer': 'adam', 'patience': 10, 'steps': [20], 'test_every_n_epochs': 1, 'preds_file': 'GCNN_Metr.csv', 'groundtruth_file': 'y_truth_GCNN_Metr.csv'}}
2021-01-30 16:35:05,849 - model.gcnn_supervisor - INFO - ('x_train', (12383, 3, 207, 1))
2021-01-30 16:35:05,850 - model.gcnn_supervisor - INFO - ('y_train', (12383, 1, 207, 1))
2021-01-30 16:35:05,855 - model.gcnn_supervisor - INFO - ('x_val', (2881, 3, 207, 1))
2021-01-30 16:35:05,856 - model.gcnn_supervisor - INFO - ('y_val', (12383, 1, 207, 1))
2021-01-30 16:35:05,858 - model.gcnn_supervisor - INFO - ('x_test', (1440, 3, 207, 1))
2021-01-30 16:35:05,859 - model.gcnn_supervisor - INFO - ('y_test', (1440, 1, 207, 1))
2021-01-30 16:35:05,864 - model.gcnn_supervisor - INFO - ('y_test_groundtruth', (1440, 1, 207, 1))
2021-01-30 16:35:07,785 - model.gcnn_supervisor - INFO - Total number of trainable parameters: 193776
2021-01-30 16:35:07,933 - model.gcnn_supervisor - INFO - Start training ...
2021-01-30 16:35:50,454 - model.gcnn_supervisor - INFO - Epoch [0/200] (124) train_mae: 117.5213, val_mae: 197.3823 lr:0.010000 42.5s
2021-01-30 16:35:52,796 - model.gcnn_supervisor - INFO - Val loss decrease from inf to 197.3823, saving to results\GCNN_DDGF_h_1_60_lr_0.01_bs_100_0130163505/models-197.3823-124
2021-01-30 16:35:52,824 - model.gcnn_supervisor - INFO - Overall Test MAPE 19.5007, RMSE 11.2343
2021-01-30 16:36:34,952 - model.gcnn_supervisor - INFO - Epoch [1/200] (248) train_mae: 33.7897, val_mae: 287.2933 lr:0.010000 42.1s
2021-01-30 16:37:18,920 - model.gcnn_supervisor - INFO - Epoch [2/200] (372) train_mae: 27.0284, val_mae: 343.4341 lr:0.010000 41.7s
2021-01-30 16:38:02,977 - model.gcnn_supervisor - INFO - Epoch [3/200] (496) train_mae: 25.5158, val_mae: 375.5605 lr:0.010000 41.8s
2021-01-30 16:38:48,093 - model.gcnn_supervisor - INFO - Epoch [4/200] (620) train_mae: 23.9269, val_mae: 393.1273 lr:0.010000 42.7s
2021-01-30 16:39:33,665 - model.gcnn_supervisor - INFO - Epoch [5/200] (744) train_mae: 22.4193, val_mae: 397.4866 lr:0.010000 43.3s
2021-01-30 16:40:18,432 - model.gcnn_supervisor - INFO - Epoch [6/200] (868) train_mae: 22.8661, val_mae: 379.4928 lr:0.010000 42.4s
2021-01-30 16:41:03,315 - model.gcnn_supervisor - INFO - Epoch [7/200] (992) train_mae: 22.4004, val_mae: 410.8586 lr:0.010000 42.6s
