2021-01-30 16:26:32,218 - model.gcnn_supervisor - INFO - Log directory: results\GCNN_DDGF_h_1_60_lr_0.01_bs_100_0130162632/
2021-01-30 16:26:32,220 - model.gcnn_supervisor - INFO - {'base_dir': 'results', 'log_level': 'INFO', 'data': {'batch_size': 100, 'pattern': 'CM0.2', 'dataset_dir': '../data/Metr_data', 'test_batch_size': 100, 'val_batch_size': 100}, 'model': {'cl_decay_steps': 2000, 'horizon': 1, 'input_dim': 1, 'l1_decay': 0, 'num_nodes': 207, 'num_rnn_layers': 1, 'output_dim': 1, 'rnn_units': 60, 'seq_len': 3, 'use_curriculum_learning': True}, 'train': {'base_lr': 0.01, 'dropout': 0, 'epoch': 0, 'epochs': 200, 'epsilon': 0.001, 'global_step': 0, 'lr_decay_ratio': 0.1, 'max_grad_norm': 5, 'max_to_keep': 100, 'min_learning_rate': 2e-06, 'optimizer': 'adam', 'patience': 10, 'steps': [20], 'test_every_n_epochs': 1, 'preds_file': 'GCNN_Metr.csv', 'groundtruth_file': 'y_truth_GCNN_Metr.csv'}}
2021-01-30 16:26:32,733 - model.gcnn_supervisor - INFO - ('x_train', (12383, 3, 207, 1))
2021-01-30 16:26:32,734 - model.gcnn_supervisor - INFO - ('y_train', (12383, 1, 207, 1))
2021-01-30 16:26:32,735 - model.gcnn_supervisor - INFO - ('x_val', (2881, 3, 207, 1))
2021-01-30 16:26:32,735 - model.gcnn_supervisor - INFO - ('y_val', (12383, 1, 207, 1))
2021-01-30 16:26:32,735 - model.gcnn_supervisor - INFO - ('x_test', (1440, 3, 207, 1))
2021-01-30 16:26:32,736 - model.gcnn_supervisor - INFO - ('y_test', (1440, 1, 207, 1))
2021-01-30 16:26:32,736 - model.gcnn_supervisor - INFO - ('y_test_groundtruth', (1440, 1, 207, 1))
2021-01-30 16:26:34,755 - model.gcnn_supervisor - INFO - Total number of trainable parameters: 193776
2021-01-30 16:26:34,891 - model.gcnn_supervisor - INFO - Start training ...
2021-01-30 16:27:16,584 - model.gcnn_supervisor - INFO - Epoch [0/200] (124) train_mae: 84.8439, val_mae: 194.9000 lr:0.010000 41.7s
2021-01-30 16:27:19,052 - model.gcnn_supervisor - INFO - Val loss decrease from inf to 194.9000, saving to results\GCNN_DDGF_h_1_60_lr_0.01_bs_100_0130162632/models-194.9000-124
2021-01-30 16:27:19,097 - model.gcnn_supervisor - INFO - Overall Test MAPE 17.1043, RMSE 9.9268
2021-01-30 16:28:02,102 - model.gcnn_supervisor - INFO - Epoch [1/200] (248) train_mae: 28.7884, val_mae: 266.6149 lr:0.010000 43.0s
2021-01-30 16:28:46,934 - model.gcnn_supervisor - INFO - Epoch [2/200] (372) train_mae: 24.6769, val_mae: 318.8640 lr:0.010000 42.6s
2021-01-30 16:29:32,563 - model.gcnn_supervisor - INFO - Epoch [3/200] (496) train_mae: 23.2926, val_mae: 325.6478 lr:0.010000 43.4s
2021-01-30 16:30:18,733 - model.gcnn_supervisor - INFO - Epoch [4/200] (620) train_mae: 21.9336, val_mae: 321.1610 lr:0.010000 43.7s
2021-01-30 16:31:07,744 - model.gcnn_supervisor - INFO - Epoch [5/200] (744) train_mae: 21.0555, val_mae: 328.8642 lr:0.010000 46.5s
2021-01-30 16:31:53,270 - model.gcnn_supervisor - INFO - Epoch [6/200] (868) train_mae: 20.7916, val_mae: 327.4731 lr:0.010000 43.2s
2021-01-30 16:32:38,520 - model.gcnn_supervisor - INFO - Epoch [7/200] (992) train_mae: 20.2358, val_mae: 322.9834 lr:0.010000 43.0s
2021-01-30 16:33:23,927 - model.gcnn_supervisor - INFO - Epoch [8/200] (1116) train_mae: 19.3156, val_mae: 329.8731 lr:0.010000 43.1s
2021-01-30 16:34:09,520 - model.gcnn_supervisor - INFO - Epoch [9/200] (1240) train_mae: 19.5083, val_mae: 326.4164 lr:0.010000 43.3s
